sent_rating,processed_text_stem_NoStopwords,data
positivo,comprei desconfiado conta avaliaçõ escuta direito chegou prazo reconhec voz distancia sala grito escuta casa reconhec precisar gritar soubess tinha comprado aproveitar promoção satisfeito automatizando casa produto compatívei respond rapido volum assistent maravilhosa comprei automatizar casa,2021-12-08 00:00:00
positivo,sabemo dispositivo echo dot amazon melhor assistent virtual possuímo mercado hoje dia fácil instalação pode-s inúmera possibilidad atividad tarefa mesma negativo geração dificuldad reconhecimento cômodo menor há preocupação iria causar má experiência erro ocorr minoria faça investimento irão arrepend,2021-03-22 00:00:00
negativo,alexa torcer pra defeito assistência brasil garantia garantia apresent defeito vou precisar procon pra valer direito consumidor falar atendimento super mau educado saem chat terminado resolvido dou melhorar pó venda começa respeito chover processo amazon ai googl toma mercado vc falar q avisado,2021-02-04 00:00:00
negativo,legal prático avisa lembret alarm timer etc. respond pergunta caso confund diversa resposta vira mex respond conseguiu achar tema TV alexa ligar desligar mexer volum comprei lâmpada inteligent esperando chegar fica legal interssant integração confesso tinha expectativa equipamento interessant interativo investiria novament,2020-12-14 00:00:00
positivo,reconhecimento voz x preciso falar 2x pra reconhec achei som resposta engraçada pra pergunta muita opçõ comando variedad serviço pra sincronizar recomendo,2022-03-14 00:00:00
negativo,contrário geração anterior 3ª geração cor cabo carregador acompanhava cor echo dot geração apesar comprado echo dot cor preta cabo carregador veio branco inadmissível padrão qualidad amazon seja esteticament detalhadament houv sentido piora cuidado sensibilidad delicadeza,2021-02-04 00:00:00
positivo,muita pessoa reclamam comando voz funcionar direito acontec tiver ruído ambient ventilador dispositivo echo britadeira furadeira liquidificador etc).s ambient isento ruído funciona perfeitament qualidad sonora tratando equipamento pequeno control médio grave agudo definição rang frequência super expectativa qualidad sonora,2021-07-15 00:00:00
positivo,funciona tecnologia legal auxiliar diariament entretenimento única atrapalha surda preciso repetir vária comando entend coisa diferent perguntado raiva vc pede pra contar piada passa vc acaba rindo ruim piada kkk,2021-07-14 00:00:00
positivo,pedir colocar alarm hora previsão notícia dia acorda escolh nome alexa amazon echo fala eco queria mudar nena bia lene acho massa fácil falar ruim ficar repetindo alexa alexa eco eco show bola comprei lâmpada inteligent mando luz azul volum 2 escutar jack johnson certinho função pedir música control pra ligar nela pedir pra ligar ar tv fico modo vagal,2021-12-20 00:00:00
positivo,há detalh prefiro 3 geração carregador versão branco comprando versão preta fica discrepant feio carregador alongado achava bonito quadradinho versão 3 quesito funcionalidad deixa desejar quesito estética,2022-01-12 00:00:00
positivo,olá adorei produto resposta sejam longa pedir música direciona assinatura amazon fiz ok impressionamo descuido detalh fio incrivelment veio branco desacordo cossa alexa preta atendimento ótimo produto adorável descuido dess compromet aficcionada design infelizment item deixou desejar vejo avalio 4 estrela,2021-08-17 00:00:00
positivo,mídia carregada útil comprei entend funcionamento daqui casa amaram estamo avaliando colocar alexa cômodo casa utilizar automatizar sistema iluminação temperatura super recomendo!!!!!!ob útil pessoa pretendem caixinha echo dot,2021-06-30 00:00:00
positivo,inicialment pensei devic alexa divertir família produto surpreendeu microfon sensível atend compreend casa rápida resposta usando conjunto 2 tomada inteligent i2go adquiri amazon day responsiva som unidad discreta pequena potência sala média ideia automação coisa casa realment fascinado recomendo mesma ideia uso,2021-06-27 00:00:00
negativo,quas fan boy amazon alexa infelizment geração 4 dando dor cabeça usando quas problema durant utilização dia dia pude notar repetir comando falar alto entend comando aument considerável experiência alexa versão 3 extremament positivo taxa repetição comando alexa versão 3 quas nulo trist experiência ruim,2021-06-09 00:00:00
positivo,produto discreto bonito útil dia dia podendo gravar lembret mandar recado pra casa ouvir música etc. áudio gosto fato conectada energia elétrica cabo casa,2021-05-27 00:00:00
positivo,alexa adorei achei ótimo som dela super prática usada tomada extra lampada inteligent led inteligent adicionai automação única complicada criação cena ligar desligar tv netflix paus etc. ai namorado ajud deu certo!comprarei futuro ctz!único cabo alexa preta branco entendi pq preto combinando incomoda atrapalh funcionalidad toc,2021-06-21 00:00:00
negativo,razão residir imóvel andar acabei decidindo adquirir 02(doi equipamento diversa tentativa verifiquei funcionam extensão caixa som seja toca toca alterando identificação equipamento consigo tocar música diferent alexa informa adquirir plano amazon music ilimit naturalment pagando 25 reai absurdo acabei enganado fraudulenta perform equipamento alexa,2021-06-10 00:00:00
positivo,comprei princiipio curiosidad tecnologica alexa impressionei capacidad coisa facilidad comando possibilidad deixar casa inteligent tomada lampada fundo feito ja impressionado vi,2021-07-09 00:00:00
positivo,super prático super funcion Vc perceb precisa vc boa!só som volum pra proposta assistent virtual completa eficient perfeito aparelho,2021-06-24 00:00:00
positivo,cara recomendo comprei deixei quarto separado peço alexa executa comando ouvir problema vi pessoa disseram microfon versão anterior melhor acho problema dicção entend palavra diferent falei resto perfeita som alto qualidad perfeita son dormir ajudaram melhorar qualidad sono,2021-05-21 00:00:00
negativo,primeiro 7 excelent comprem 3 geração 4 geração dando dor cabeça defeito ninguém consegu resolv escuta algum escutar 7 á comprei escutar hoje preciso clicar algum botão nela msm algum fica muda resetei tirei tomada voltei padrõ fabrica resolv dica comprem 3 geração achei nenhum erro 4 geração,2022-01-21 00:00:00
positivo,produto excelent fiz pesquisa echo dot dúvida 3a 4a geração acabei comprando 4a diferença tivess 3a geração compraria acho vale pena produto nota 10 ja conectei controlar alexa nela funcionando perfeitament vc echo dot vale pena comprar caso tenha 3a geração compensa upgrad,2021-04-18 00:00:00
positivo,atualização ficou estalo áudio continu surda hoje 01/06/2021 notei passou escutar melhor estranho acredito ficará echo dot 3 ob hoje 02/06/2021 fantástica captação/ reconhecimento voz escuta erro demora engasgo áudio continuam pra esperar atualização resolva uso escutar música entrega amazon fodástica,2021-05-07 00:00:00
negativo,produto ótimo consegui deixar insatisfação site finalizando compra opção escolha parcelamento coloquei carrinho echo dot compra seguida apareceu mensagem pedido finalizado sucesso automatico consegui parcelar aconteceu prima coloc produto carrinho seguida deu compra finalizada absurdo espero revejam site pedem codigo segurança cartão seguro,2021-08-04 00:00:00
negativo,comprei modelo diferent redondo achatado pensando tamanho porem produto tambem minusculo Ja funcionalidad lampada valem pena 95 lampada encontrei iluminam cara cara tambem iluminam control univers ajud tv ar condicionado tomada inteligent absurdo preço escutar musica agendar alarm brincar skil acessorio inteligent alem caro bon,2021-04-02 00:00:00
positivo,gostei produto aprendendo criar rotina existem coisa gostaria fizess possa aprend acredito existam restriçõ aplicativo precisa acionar entend estiv tocando música alta barulho ambient estiv alto qualidad som começa estourar volum feliz fazendo gostaria existiss manual completo pudess acessar conhec skill dela,2021-07-03 00:00:00
positivo,qualidad áudio consigo ouvir música qualidad som direcionado notei microfon dela ruim pessoa falam review echo dot 3 gen testar alexa ouviu tranquilament outro assistindo vídeo ouvindo musica nela flash brief ótimo resumir acontecimento dia acordo skill toqu completament diferent deixando divertida útil,2021-08-04 00:00:00
negativo,excelent qualidad som reconhecimento voz poderia melhor foss necessário liga LO energia durant uso tornar equipamento desnecessário caso VC nao tenha vario equipamento compatívei ambient compr tiver tv home alarm compativei,2021-03-09 00:00:00
positivo,comprei echo 4º 3º geração simultaneament gostei produto notei pequena melhora qualidad som 4º geração acho compens dificuldad alexa reconhec comando acredito possa microfon ficarem abaixo paninho cobr alexa 4º geração enquando 3º geração 4 bucaro microfon clarament amostra levar consideração hora escolh echo daria nota 4.5/5.0,2021-08-06 00:00:00
positivo,gostei som limpo bonita esteticament incomod pq botão liga desliga tirar tomada funciona tomada tivess lido funcionava tomada teria comprado modelo fio,2021-03-07 00:00:00
positivo,item casa inteligente!valeu centavo investido!reconhec voz certinho veio embalada som agradável ótima qualidad botõ configuraçõ intuitivo sincronismo app casa inteligent deezer lê livro etc. satisfeita investimento feliz automatização conceito casa inteligent arrependo comprado amazon day aguardo próximo,2021-08-03 00:00:00
negativo,produto modo acredito poderia melhor refer pronúncia alexa pude perceb googl translat superior refer pronúncia palavra alexa pronúncia ficam incomprensiva deixando voz dela robotizada espero melhoria naa próxima atualizaçõ som grave surpreenderam tamanho dispositivo recomendo,2021-03-24 00:00:00
positivo,assistent virtual gostando som dela reconhecimento voz claro estiv tocando música volum alto falar alto pra escutar normal configurando alexa caixinha chegar celular uso pra despertar deixa modo soneca pra controlar luze tv ouvir notícia ouvir rádio conecta estaçõ cidad ouvir spotifi enfim recomendo,2022-03-18 00:00:00
positivo,mídia carregada chegou rápido cumpr promet entend pedimo confund toca totalment diferent normal assistent virtual gostei criança adoraram prático p lembret despertador ajuda pôr menino p dormir rsrsr,2021-05-18 00:00:00
positivo,adorei fiquei satisfeita ótima aquisição Vi muita gent reclamando alexa ouv comando problema nenhum coisa entend basta mudar perguntar respond funcion vale pena assinando amazon music gama música tocar aumentam vale pena amazon music amazon prime amazon video etc preço outro app música caso deezer,2021-07-07 00:00:00
positivo,pra super sincero imaginei compra inútil rsma absolutament assistent eletrônica super útil ajudar lembrar afazer possuo agenda cheia diversa reuniõ remédio vou tomando longo dia acordar notícia curiosidad música simplesment amando experiência alexa contar skill super divertida conexõ principai streamer música mesma possui qualidad áudio excelent,2021-05-28 00:00:00
negativo,"produto chegou atrasado frete expresso amapá todavia veio embalado protegido,- ob frete rembolsado vale present compra q efetuas optei vim pré-configurada conta amazon chegar fiz test conectando rede fii produto funcion perfeitament som otimo grave adoraveu reconhecimento voz chega peca gritar casa fassa reconhec melhor kkkaprovado",2021-07-06 00:00:00
negativo,produto comprei filho produto parabén fiquei chateado logística amazon fiz pedido presentear mãe chegou pedido extraviado informaçõ havia pago tinha comprado lâmpada inteligent uso produto mim restou transtorno política reembolso injusta paguei vista vou receb decepcionado comprem amazon,2021-05-13 00:00:00
positivo,softwar inteligência artifici precisa acontecendo aperfeioado esper perfeição acredito avanço significativo usando verdad perceberá equipamento uso incomoda alexa ouvir determinada situaçõ principalment tocando música trava momento ai satisfeito principalment automação,2020-12-28 00:00:00
positivo,3ª geração compr 4ª. som superior grave fort som encorpado alto potent 3ª geração perguntam surda resposta sim!a echo dot 3ª geração atend entend comando melhor echo dot 4ª geração entend alexa seguir desentendida echo 4ª som peca microfon reconhecimento voz,2021-03-19 00:00:00
positivo,amei echo dot bonita acho bonita geração som muda som direcion esperava potência grave tendo vista go 3 grave caixa pequena pegando preço promocion excelent aquisição principalment tiverem pai idoso usando aplicativo mandar ligar celular pessoa possui app alexa falar ajuda caso acident,2021-07-28 00:00:00
positivo,comprei present ajudar namorada tarefa diária divertir centena funçõ skill ficou apaixonada tá divertindo fala baleiê acredita nisso echo dot dispositivo incrível ajudar dia-a-dia ótima qualidad som grave agradávei curtir música favorita contar fácil conexão dispositivo inteligent lâmpada wi-fi comprei junto tá ajudando muitão conforto soninho recomendo,2021-06-16 00:00:00
positivo,gosteii muiito produto echodot excelent qualidad som maravilhoso fiquei chateada relógio sendo descrição fala relógio decepcionei explicado comparar echodot vi relógio cor preta descrição produto site echo dot 4ª geração smart speaker alexa cor preta fala relógio amazon deveria especificar melhor,2021-12-10 00:00:00
positivo,adorei produto linda som ficou melhor echo 3 ° geração único negativo microfon dela achei surda antecessora deixando fix test casa vi echo 3 ° geração ouv maior distância falando excelent assistent,2020-12-17 00:00:00
positivo,caso esteja volum alexa alto reconhecimento voz fica falho aumentada voz resolva qualidad som 80 ocorrem distorçõ integração app skill dela divertida útei,2020-12-17 00:00:00
positivo,problema entrega amazon pedido demor semana prazo pra chegar echo reclamaçõ som melhor geração anterior problema microfon entend outro echo 3ª geração,2021-07-14 00:00:00
positivo,fiz compra black friday achei receberia natal chegou gracinha amando incrível tornou dia prático usei funcionalidad recomendo pesquisem infinidad funçõ toca música leve acordo agitada afazer cara toca podcast ciência peço etc. função lembret útil pessoa esquecida virou xodó família hahaha,2020-12-22 00:00:00
positivo,ouvi falar dispositivo achei interessant aprofundando funçõ vi aplicada dia dia fiz configuraçõ comprei dispositivo infravermelho estend funçõ controlar equipamento casa consigo ligá-lo comando voz conectar soundbar voz achei demais!o comando voz funciona perfeitament precisar gritar :D,2022-03-15 00:00:00
positivo,produto atendeu expectativa facilidad configurar utilizar trocamo nome alexa amazon filho pudess utilizar pronuncia entendida equipamento 5 ano utiliza seja fazendo pergunta pedido música incluindo iten lista compra esposa rs estamo providenciando lâmpada automação iluminação inúmera possibilidad equipamento vale investimento,2021-04-09 00:00:00
negativo,péssimo produto interação appl music spotifi seja configurado pedir alexa tocar música insist tocar amazon music venda casada isso!!!!!! stream música paga aceita seja caso princip uso appl music spotifi pago amazon music versão gráti motivo alexa acha música peço,2021-12-07 00:00:00
positivo,tecnologia anda surpreendendo conform uso diário!acredito tenha observado problema funcionalidad cumprindo esperado sendo difícil acompanhar aplicativo vejo consequência possuir muita habilidad manual auxílio tutori possa resolv,2021-10-28 00:00:00
positivo,confesso frustrou echo dot interess foss ouvir música alguma qualidad satisfeito interação reclamar uso alexa despertar manhã utilidad básica dia dia reclamar expectativa limitada achei super válido,2021-05-10 00:00:00
positivo,programei agenda pagamento recebimento avisa encomenda chegam vastidão música pretendo trocar interruptor luz control iluminação disto conexão direta alexa falar direto familiar casa,2021-03-10 00:00:00
positivo,assistent útil facilita dia dia usufruir totalment possibilidad necessário inclusão dispositivo fire stick lite opção versão 4k indisponível país).acaba tornando caro microfon preciso falam review internet qualidad sonora dispositivo pequeno intuito produto interação satisfatória fato chamar nome facilita habituar conversar orden,2020-12-01 00:00:00
negativo,mídia carregada produto veio defeito áudio fica travando fazendo voz robótica 3 casa veio opção trocar site devolv comprar vergonha vou perder comprei desconto soubess compraria amazon há locai barato,2021-03-27 00:00:00
positivo,instalação deu problema echo dot geração 3 4 echo dot geração 4 melhor som alexa geração 4 entend comando clareza falar alguma palavra inglê entend perde-s procurando pergunta entenda geração 3 encontro problema,2022-03-08 00:00:00
positivo,gosto echo dot 4 confesso precisaria casa sendo pequena microfon echo dot acho atraso falha reconhecimento resto gosto poderia opção continuar conversa modo continuar perguntando assunto acabei perguntar reativá-la palavra ativação,2022-03-11 00:00:00
positivo,son encorpado volum médio fica estourado vc volum melhor opção opção robusta acabamento premium bonita .não gostei cabo alimentação cor branca entrega super rápida prazo vc tá querendo som ambient assist voz pra automação casa inteligent ótima opção comprar medo seja feliz,2022-03-17 00:00:00
positivo,echo echo dot dei present esposa espaço estética estamo super satisfeito produto amazon recomendamo olho fechado sonho consumo echo studio echo show comprar arrepend vale pena,2021-04-04 00:00:00
positivo,simplesment perfeita Vi muita gent reclamando surda provavelment algum problema corrigido escuta coloco som 100%(com grito caso haha imaginava achei linda qualidad som nítido quas comprando som aprimorado haha,2021-04-29 00:00:00
positivo,amo alexa dispositivo echo dot ajuda muita coisa criar lista supermercado conta basica criar lembret ouvir musica muita curiosidad exist limitacao comando coisa considero basica nao respond constant atualizaco vao pouco melhorando volum eh suficient ouvir musica volum alto razoavel ambient nao aguenta festa,2021-05-28 00:00:00
negativo,adorei alexa inteligent humorada hora escuta acredito microfon seja hora falha toca música estivess disco arranhado falhando voz cheguei casa simplesment ficou vermelha atendia nenhum comando entrar contato atendimento amazon sabia resolveram acrescento fico ótima companhia,2022-02-09 00:00:00
negativo,alexa acessa spotfi ms vincula conta tocar play list dificuldad conectar celular tocar play list celular so voce fizer manualment outro problema alexa n toca pedido específico vc pede bruno marron toca artista música similar tocará artista música pedida vc assinar amazon músic problema dela horrível,2021-12-10 00:00:00
positivo,uso ouvir musica toca exclusividad assinar amazon muita coisa ajudar dia dia precisar som excelent volum deixa ambient alegre.nao gostei pede pra vce assinar amazon music pedimo musica gosto foss barato assinaria estamo orçamento subiu,2021-02-19 00:00:00
positivo,gostei alexa respond vária pergunta comando relacionado música rádio notícia vou testar uso lâmpada inteligent funciona reconhecimento voz precisa melhorar precisa falar modelo 3ª geração possuo capta melhor falo distant,2022-01-17 00:00:00
positivo,Vi video comparando echo dot 3 4 3 melhor microfon 4 nao ta reconhecimento qualidad audio 4 sao melhor absurdament melhor pra nao vale começar 3 muuuuito puder 4 melhor 3 ja atend,2022-01-16 00:00:00
positivo,produto super expectativa integração dispositivo inteligent feita modo fácil rápida app alexa reconhecimento voz eficaz sensibilidad ótima reconhec comando estando outro cômodo casa qualidad construção som incrívei materiai ótima qualidad speaker som claro qualidad simplesment sensacion irei comprar base bateria echo dot,2021-10-22 00:00:00
positivo,produto lindo som razoável reconhecimento voz melhor sinto alexa pouco atendendo rapidament chamada princip negativo cabo alimentação branco dispositivo preto fica visível dispositivo possui tanta funçõ alexa americana frustrant imagino futuro teremo funçõ,2021-01-04 00:00:00
positivo,tinha echo dot geração comprei promoção nivel design ficou melhor liga design echo dot geração serv perfeitament,2021-07-09 00:00:00
negativo,mídia carregada semana pára funcionar tenta falar pisca vermelho tirar tomada ligar novament funcionar toca alarm compromisso enfim acaba sendo inútil confiável,2022-01-02 00:00:00
positivo,alexa nest tempo solidão passou mero produto tecnológico condição leal companheira diversa tarefa sobretudo escolha execução música atualização informaçõ nota 100 alexa querida companheira,2020-11-28 00:00:00
positivo,som seja ambient fechado contava comando alexa ótima aquisição ficar escutando musica cozinha limpa casa deveria acesso aplicativo música music unlimit spotifi poderia funcionar chamada telefon estiv conectado nela infelizment chamada conta amazon excelent secretária agendamento remédio cronometro avisa poderia ler mensagen whatsapp twitter interessant próxima versõ,2021-07-21 00:00:00
positivo,pra começar ouvir música simpl comando voz som satisfatório ligar luz comando voz(necessário lâmpada compatível comprar tomada específica definir hora ligar ventilador conectado nela carregar celular pedir alexa desligu tomada hora bolinha mágica sai,2021-10-03 00:00:00
negativo,qualidad som básica suficient pra vc curtir legal dispositivo qualidad microfon péssima sensibilidad fraca preciso repetir vária pra ouvir acionada nest mini totalment diferent sensibilidad recomendo produto recurso legai vc acionamento voz fiqu claro terá gritar pra ouvir,2021-04-13 00:00:00
positivo,gostei produto comprado juntament dispositivo agregarem ambient alexa sozinha compraria reconhecimento voz dia preciso gritar e/ou falar 0-10 dou 4 pro microfon alto-falant bon música alta qualidad comando voz dispositivo inteligent tomada control inteligent interruptor respond important spotifi skill horrível precisa melhorar,2021-02-01 00:00:00
positivo,echo dot 4 problema sério capaz escutar voz comparado 3 3 cozinha estando sala 3 escuta responsivo 4 fica sala reportei falaram pra reconfigurar resolveu 4 qualidad som melhor decepcionado,2020-12-26 00:00:00
positivo,audio versão superior anterior echo dot 2nd gen melhora impressionant baixo especialment infelizment impressão reconhecimento voz piorou dificuldad acionar dispositivo chamar alexa ficando pequeno apesar melhor tinha aúdio superior decepcion font comprei echo dot preto font cabo dele branco fica feio optaram conector péssimo melhor usb C.,2020-12-09 00:00:00
positivo,simplesment maravilhoso conhecia linha echo comprei passei recomendar pra familiar aparelho possui qualidad única pra mim sido útil lê ebook pra mim trabalho rotina ótima pra organizar dia ouvir rádio mundo espetacular enfim satisfeita compra compraria pudess,2020-12-09 00:00:00
negativo,dot 3a geração pra escutar gen 4 surda gritar abaixar volum dela pra escutar achei horrível font 15w mesma potência dot 3 30 vir cor diferent branca aparelho preto).no acho novidad qualidad som achei,2020-12-08 00:00:00
positivo,dúvida echo dot 4 ficar tranquilo aparelho cumpr fielment propõ áudio ótima captação voz design bonito echo dot 3 possui ótimo design funcion important ressaltar automação basta echo dot adquirir dispositivo acordo necessidad automação tomada inteligent control univers infravermelho interruptor inteligent lâmpada wi-fi etc echo dot 4 excelent escolha automação entretenimento recomendo,2020-12-29 00:00:00
positivo,li comentário negativo modelo alexa dizendo ouv afirmo letra ouv super falo nome dela querer conversa casual ativa Ja ativei fica sala precisar gritar falando alto ambient fica basta falar normal voz baixa ativa perfeitament surda querer ativar alexa 1 km distância pq funcionalidad ótima queria registrar certo receio comprar surda,2021-10-13 00:00:00
positivo,simplesment ótima som possui subgrav nítido incrível levar conta potência 15wrm som extrema qualidad important vejo dificuldad alexa geração ouvir comando sincerament reclamar fiz test fechando porta pedindo pra executar tarefa estando outro cômodo casa ouviu precisei falar alto dica dou deixem objeto frent alexa atrapalhar comunicação resumindo satisfeito valeu centavo,2021-07-09 00:00:00
positivo,havia dado echo dot present adoraram present comprei junto lâmpada smart positivo entretanto reclamação echo dot lâmpada vieram solta caixa mostro foto torço tenha havido nenhum dano amazon show bola entregas. ️ ️ ️,2021-08-06 00:00:00
positivo,assistent super inteligent rápida compra siri googl now entend devolv resultado positivo rápido pouca compreend pedido funciona melhor cômodo pequeno fiz test funciona 100 cozinha som fica alto escuta 100 livro toca música apaga luz café realment indispensável dia dia,2021-09-15 00:00:00
positivo,comprei home offic pequeno discreto bonito áudio satisfatório reclamar microfon dess 2 cômodo capta voz pequeno prático provavelment levarei comigo viagen,2021-07-04 00:00:00
positivo,confund algum outro som tv ligada entend digo acho falo rápido sotaqu esperar engraçadinha googl resposta vida universo oopodem comprar pessoal funciona integrado lâmpada equipamento echo dot casa jeff bezo ouvir conversa particular,2021-07-10 00:00:00
negativo,expectativa desenvoltura IA deixou desejar pergunta simpl googl assistent sai melhor resumo IA convenc hardwar construído possui qualidad construtiva belo design potência sonora adequada uso esper volum IA sendo eficient esperava valeu compra consegu auxiliar tarefa alarm lista compra música cálculo pesquisa básica recomendo,2021-10-07 00:00:00
positivo,vive brinquedinho legal aprendendo reconhecimento voz ok precisa falar pausado estivess falando ET skill tornando interessant integração dispositivo casa inteligent super simpl realizar acredito evoluir vale investimento,2021-05-30 00:00:00
negativo,informaçõ falam conectar dispositivo wifi e/ou bluetooth echo dot 4 realizar sincronismo descobri verdad conectar dispositivo wifi precisam compatívei alexa bluetooth necessitam speaker wireless espéci adaptador consiga sincronizá-lo deixou desejar ponto).demai funcionalidad gostei reclamar,2021-07-07 00:00:00
positivo,inteligencia artifici alexa reconhec nome próprio som estiv alto ambient encontra echo 4 provavelment terá falar alto alexa responda recomendo compra experiencia interativa produto proporciona interessant,2022-01-02 00:00:00
positivo,justament achei interessant proposta alexa assistent virtual amazon massa realmente!porém acho poderia otimizar experiencia usuário softwar personalização interessant chamar alexa 3 opçõ outro nome responda comando seriam super interessant verdad acho melhorar isso)d resto característica física estrutura lograda solida desig lindo apresenta luze qualidad som fisicament incrível desig,2021-06-23 00:00:00
positivo,echo aurpreendi feito alexa super expectativa cixa som sabendo realment ajuda único coloco observação qualidad sonora desmereça compra mesma qualidad caixa jbl menor opinião,2021-06-24 00:00:00
negativo,geração maravilhoso comprei surda precisa gritar equipamento conseguir escut estiv tocando ouvir!s arrependimento feito troca defeito especificament comentário vi realment problema evolução!est insatisfeito produto,2021-05-23 00:00:00
negativo,gostei comprei echo comprei echo dot 4 descobri posteriorment par stereo echo dot semelhant comprei som ambient princip decepção par stereo via bluetooth conteúdo alexa firetv vc pensa comprar esqueça compr hometheat,2021-12-16 00:00:00
positivo,qualidad som delea excelent reconhecimento voz impecável executar comando lâmpada smart smart tv câmera smart funcional!toca música música específica precisa amazon music spotifi deezer lee livro livro tenha adicionado celular kindl loja amazon brincadeira jogo piada interessant,2021-07-02 00:00:00
positivo,obviament produto conhec tecnologia alguém possa fazendo configuraçõ produto maravilhoso facilitar muita coisa dia dia tbm auxiliar segurança casa único detalh gostei qualidad som acredito modelo som premium tenha resolvido,2022-01-11 00:00:00
positivo,produto simpl abertura caixa configuração servido maneira excelent ouvir música criar gerenciar lista compra casa app instalado celular inseriu lista aparec fica fácil supermercado vou achar funcionalidad,2021-08-09 00:00:00
negativo,adorei achei chato client prime comprar alexa consiguir promoção plano amazon music achei conversava gent respond pergunta amazon excelent podess melhoria ficaria P galáxia 1 inteligência conversação tiver achei consiguir configurar nela)2 promoção desconto pra compra echo dot 3/4 principalment pra client comprou alexa.3 interessant conseguiss procurar alexa certo metro vizinho poderiam amizad kkkm,2021-03-25 00:00:00
positivo,2 semana uso produto incrível sombra dúvidas!serv enfeit estant luz interaj modo sussurro toca música falar nisso subestimei capacidad som dela som incrível conecta via bluetooth notebook celular tamanho cabe palma mão 10 cm altura > uso controlar kit casa inteligent positivo perfeitament,2021-07-29 00:00:00
positivo,echo dot fácil instalar inicializar alexa ajuda dia-a-dia uso vária atividad ouvir música alexa ler mim resumo notícia etc. ressalva alimentada cabo energia rede elétrica deveria vir bateria recarregável porta usb,2021-07-07 00:00:00
positivo,diferentement pessoa reconhecimento voz dela ótimo pega cômodo inteiro falar alto som dela incrível pequena consegu barulho ótimo modo cochicho falar noit resposta comando rápida apagar luz diverso comando divertido adorei,2021-06-30 00:00:00
positivo,Vi vária reclamaçõ echo dot 4 surda problema 10 comando acordar tinha repetir comprei echo show 8 colocar ambient echo show falha sensibilidad som echo dot 4 razoável lembra jbl-go pequeno ótimo design clean elegant,2021-03-18 00:00:00
positivo,hora comprar fiquei dúvida geração comprei falar arrependimento nenhum excelent qualidad escuta consigo chamar tranquilament sala pro,2021-07-01 00:00:00
negativo,ignora muita preciso falar alto espero resolvam problema,2020-11-14 00:00:00
positivo,chegou rápido extremament útil pessoal fica comentando volum som idéia produto tocar música pra festa produto pra deixar música ambient bacana qualidad escritório sala quarto).qualidad sonora satisfatória pro perfil produto microfon alexa funciona distância precisa caixa pra falar 3 4 metro escuta atend necessidad,2021-07-02 00:00:00
positivo,super legal útil ajuda coisa automatizada casa porem posicionamento microfon dela dependendo ficar posicionada fica surda tendo gritar momento estress ouv vou traz dela gritar ouv recomendo usem canto cômodo geração 3 lugar centralizado,2021-06-19 00:00:00
positivo,comprei echo dot servir caixa som tocar música favorita churrasco serviu perfeitament finalidad surpresa servido finalidad lembret consultar hora lembrar evento calendário elaborar lista compra supermercado reconhecimento voz sensacion reconhec comando estando dispositivo sala satisfeito,2021-07-06 00:00:00
positivo,excelent aquisição principalment comprou promoção black friday reconhecimento voz perfeito son grave melhor echodot 3 achei agudo fraco som echodot 3 acho preench ambient acho produto principalment pensa automatizar casa futuro,2020-12-05 00:00:00
positivo,olha disponibilizam cor preta cor branca pra comprarmo cor escolhida mandam produto preta carregador branco Ei escolhi preto combina móvei preto comprei echo dot 4ª geração smart speaker alexa cor preta veio carregador branco.produto ótimo problema design entend oferec preto preto core produto.attsergio,2021-12-08 00:00:00
positivo,alexa incrível responsiva eficient proposta qualidad materi satisfeito incomoda alexa fato dela reaçõ orgânica poderia genial aplicativo skill precisam melhorada implementada control aplicativo TV,2020-12-11 00:00:00
negativo,identificador voz demora reconhec identificar comando ativação aparelho ótimo principalment publico intimidad tecnologia sendo pedido via voz prontament atendido resumo noticia musica artista específico rádio seri atividad interagem pessoa única dificuldad aparelho reconhec comando ativação acaba demorando criando frustração busca atividad,2022-03-07 00:00:00
positivo,reconhecimento voz poderia preciso momento alexa nao reconhec naontira brilho aparelho amei echo qualidad som excepcion ja esperava comentário descritivo produto decepcionant diss amei top linha haha,2021-12-16 00:00:00
positivo,echo dot período apresent ótimo funcionamento dificuldad reconhec voz comando fiquei surpreendido qualidad sonora alto-falant música achei incrível add-on lâmpada tv smart dispositivo suport alexa lequ possibilidad funcionalidad dela amplia fica divertido utilizar-la,2021-06-09 00:00:00
positivo,echo dot 4 ° geração alexa simplesment perfeita opnião muita facilidad registrar skill alexa app celular facilita ajust relógio alarm facilitado necessitamo muita configuração chegar queremo alexa interativa digamo participativa auxiliando muita tarefa dia dia comprar fazendo investimento arrepend,2021-12-11 00:00:00
positivo,filha queria divulgaçõ alexa comprei pra testar aprend ensinar ador achei alexa dificuldad ouvir repertório melhorado con vantagem assistent virtual aprend muita irei investir negócio pra mostrar espero arrumar patrocínio ja pediu mont coisa pra divulgar,2021-01-31 00:00:00
negativo,achei produto pior geração surda demora respond comando receptor wifi melhor capta sinal 3a geração funcionam normalment som achei pior encorpado único positivo mim estética,2021-12-07 00:00:00
negativo,som realment incrível elogio conexão bluetooth cai direto alexa atrapalha descobrir modo brief falar coisa desnecessária muita busca pq aplicativo ruim fio carregador curto horrorosament branco mesa preto echo dot moral vale pena comprar caixa som bluetooth jbl gênero,2021-09-02 00:00:00
